category,session_number,title,url,matched_keywords,keyword_hit
Atmospheric and Space Electricity,280576,"Advancements in Lightning Meteorology, Climatology, and Remote Sensing",https://studio.m-anage.com/agu/agu26/webprogrampreliminary/Session280576.html,"['Huntsville', 'NASA']",True
Atmospheric and Space Electricity,280118,Energetic Radiation from Lightning and Thunderstorms,https://studio.m-anage.com/agu/agu26/webprogrampreliminary/Session280118.html,['Huntsville'],True
Atmospheric Sciences,282333,"AERONET and Sun Photometry: Retrievals, Calibration, and Applications",https://studio.m-anage.com/agu/agu26/webprogrampreliminary/Session282333.html,['NASA'],True
Atmospheric Sciences,279311,AI and High Resolution Weather Forecasting,https://studio.m-anage.com/agu/agu26/webprogrampreliminary/Session279311.html,['AI'],True
Atmospheric Sciences,279530,AI and Machine Learning for Improved Subseasonal-to-Seasonal-to-Decadal (S2S2D) Forecasts,https://studio.m-anage.com/agu/agu26/webprogrampreliminary/Session279530.html,['AI'],True
Atmospheric Sciences,281027,AI-Driven Climate Intelligence: From Variability and Extremes to Cross-Sector Impacts on Health and Beyond,https://studio.m-anage.com/agu/agu26/webprogrampreliminary/Session281027.html,['AI'],True
Atmospheric Sciences,282526,AI-Driven Innovations in Earth and Atmospheric Sciences,https://studio.m-anage.com/agu/agu26/webprogrampreliminary/Session282526.html,['AI'],True
Atmospheric Sciences,279906,Advanced AI/ML for high-impact weather prediction and observation,https://studio.m-anage.com/agu/agu26/webprogrampreliminary/Session279906.html,['AI'],True
Atmospheric Sciences,281536,Advances in Atmospheric Chemistry Driven by Laboratory Studies,https://studio.m-anage.com/agu/agu26/webprogrampreliminary/Session281536.html,['NASA'],True
Atmospheric Sciences,280281,Advances in Data Assimilation: From Physics-Based Methods to AI-Driven Approaches,https://studio.m-anage.com/agu/agu26/webprogrampreliminary/Session280281.html,"['AI', 'NASA']",True
Atmospheric Sciences,281563,"Advances in Global Aerosol Modeling: Representation, Assimilation, and Prediction",https://studio.m-anage.com/agu/agu26/webprogrampreliminary/Session281563.html,['NASA'],True
Atmospheric Sciences,282680,Advances in the Integrated Global Observing System for Air Quality: Science and Societal Benefit,https://studio.m-anage.com/agu/agu26/webprogrampreliminary/Session282680.html,['NASA'],True
Atmospheric Sciences,281665,Advances of Remote Sensing Inversion,https://studio.m-anage.com/agu/agu26/webprogrampreliminary/Session281665.html,['NASA'],True
Atmospheric Sciences,279744,"Advancing Extreme Weather Prediction using AI/ML, NWP and hybrid Physics-AI Approaches",https://studio.m-anage.com/agu/agu26/webprogrampreliminary/Session279744.html,['AI'],True
Atmospheric Sciences,279580,Bridging the Gap: Integrating Multi-Platform Observations of Trace Gases in Earth’s Atmosphere,https://studio.m-anage.com/agu/agu26/webprogrampreliminary/Session279580.html,['NASA'],True
Atmospheric Sciences,281330,Climate Sensitivity and Feedbacks: Advances and New Paradigms,https://studio.m-anage.com/agu/agu26/webprogrampreliminary/Session281330.html,['NASA'],True
Atmospheric Sciences,282670,"Connecting Models, Observations, and Ecosystem Impacts in Montane Cloud Forests",https://studio.m-anage.com/agu/agu26/webprogrampreliminary/Session282670.html,['Huntsville'],True
Atmospheric Sciences,279761,Constraining Greenhouse Gas Exchange Processes Using Remote Sensing and In Situ Observations,https://studio.m-anage.com/agu/agu26/webprogrampreliminary/Session279761.html,['NASA'],True
Atmospheric Sciences,280565,Dust in a Changing Climate: From Small‐Scale Insights to Large‐Scale Understanding,https://studio.m-anage.com/agu/agu26/webprogrampreliminary/Session280565.html,['NASA'],True
Atmospheric Sciences,279806,From S2S Prediction to Anticipatory Action: AI Methods and User-Centric Climate Informatics,https://studio.m-anage.com/agu/agu26/webprogrampreliminary/Session279806.html,['AI'],True
Atmospheric Sciences,282061,Global Planetary Boundary Layer Observatory,https://studio.m-anage.com/agu/agu26/webprogrampreliminary/Session282061.html,['NASA'],True
Atmospheric Sciences,281640,Hemispheric Asymmetry and Vertical Discrepancies in Stratospheric Ozone Recovery : Bridging the Gap,https://studio.m-anage.com/agu/agu26/webprogrampreliminary/Session281640.html,['NASA'],True
Atmospheric Sciences,279301,"Modeling, Data Assimilation, and Artificial Intelligence (AI) for Better Analyses and Forecasts of High-impact Weather Events",https://studio.m-anage.com/agu/agu26/webprogrampreliminary/Session279301.html,['AI'],True
Atmospheric Sciences,282003,"Models, In situ, and Remote sensing of Aerosols (MIRA)",https://studio.m-anage.com/agu/agu26/webprogrampreliminary/Session282003.html,['NASA'],True
Atmospheric Sciences,279611,Observation and model studies of cloud properties and associated processes,https://studio.m-anage.com/agu/agu26/webprogrampreliminary/Session279611.html,['NASA'],True
Atmospheric Sciences,282234,Optical Remote Sensing of the Environment: From Single Scattering to Radiative Transfer and Retrievals,https://studio.m-anage.com/agu/agu26/webprogrampreliminary/Session282234.html,['NASA'],True
Atmospheric Sciences,281045,Remote Sensing of CH 4 and CO 2 from Space: The Expanding Observing System,https://studio.m-anage.com/agu/agu26/webprogrampreliminary/Session281045.html,['NASA'],True
Atmospheric Sciences,280605,Remote Sensing: General Contributions,https://studio.m-anage.com/agu/agu26/webprogrampreliminary/Session280605.html,['NASA'],True
Atmospheric Sciences,282241,Sources of Predictability and Error in Subseasonal-to-Seasonal (S2S) Prediction,https://studio.m-anage.com/agu/agu26/webprogrampreliminary/Session282241.html,['NASA'],True
Atmospheric Sciences,281169,"Spaceborne constellation science for atmospheric clouds, convection, precipitation, aerosol and chemical species",https://studio.m-anage.com/agu/agu26/webprogrampreliminary/Session281169.html,['NASA'],True
Atmospheric Sciences,282538,"Subseasonal to Seasonal Tropical Variability: Observations, Modeling, Processes, and Global Impacts",https://studio.m-anage.com/agu/agu26/webprogrampreliminary/Session282538.html,['NASA'],True
Atmospheric Sciences,281723,The Spectral Dimension of Shortwave and Longwave Radiation in the Earth System,https://studio.m-anage.com/agu/agu26/webprogrampreliminary/Session281723.html,['NASA'],True
Atmospheric Sciences,280980,Transboundary Pollution and Resource Management: From Science to Action,https://studio.m-anage.com/agu/agu26/webprogrampreliminary/Session280980.html,['NASA'],True
Atmospheric Sciences,280962,"Upper Troposphere, Stratosphere and Mesosphere: Chemistry, Dynamics, Transport, and Radiation.",https://studio.m-anage.com/agu/agu26/webprogrampreliminary/Session280962.html,['NASA'],True
Biogeosciences,280893,AI and Digital Tools for Resilient and Sustainable Agriculture,https://studio.m-anage.com/agu/agu26/webprogrampreliminary/Session280893.html,['AI'],True
Biogeosciences,280585,Advances in remote sensing capabilities leading to a better understanding of ecosystem and natural resource management,https://studio.m-anage.com/agu/agu26/webprogrampreliminary/Session280585.html,['NASA'],True
Biogeosciences,282964,"Advancing Climate-Resilient Agriculture through AI, Earth Observation, and Digital Twins",https://studio.m-anage.com/agu/agu26/webprogrampreliminary/Session282964.html,"['AI', 'NASA']",True
Biogeosciences,282879,Advancing biogeochemical cycle modeling with artificial intelligence (AI): Bridging data-driven methods and process-based approaches,https://studio.m-anage.com/agu/agu26/webprogrampreliminary/Session282879.html,['AI'],True
Biogeosciences,280131,Advancing understanding of Warming-Induced Emissions and Climate Feedbacks: From process insights to model and policy integration,https://studio.m-anage.com/agu/agu26/webprogrampreliminary/Session280131.html,['NASA'],True
Biogeosciences,282313,Carbon Monitoring Systems Research and Applications,https://studio.m-anage.com/agu/agu26/webprogrampreliminary/Session282313.html,['NASA'],True
